boardid,year
1044.0,2010
17777.0,2010
25944.0,2010
10868.0,2010
3903.0,2010
29964.0,2010
466388.0,2010
12453.0,2010
6910.0,2010
4621.0,2010
466388.0,2010
603630.0,2010
28702.0,2010
5549.0,2010
4839.0,2010
8414.0,2010
2058.0,2010
136226.0,2010
7251.0,2010
29202.0,2010
19006.0,2010
12407.0,2010
561710.0,2010
28665.0,2010
5104.0,2010
23082.0,2010
5218.0,2010
19589.0,2010
29263.0,2010
29263.0,2010
29263.0,2010
29263.0,2010
374642.0,2010
5192.0,2010
550890.0,2010
32137.0,2010
15580.0,2010
421516.0,2010
15580.0,2010
4621.0,2010
21027.0,2010
33857.0,2010
25539.0,2010
790345.0,2010
6438.0,2010
1966.0,2010
12818.0,2010
13110.0,2010
9103.0,2010
620944.0,2010
151.0,2010
15235.0,2010
151.0,2010
23834.0,2010
23834.0,2010
19193.0,2010
1532.0,2010
1532.0,2010
1532.0,2010
550958.0,2010
25808.0,2010
30437.0,2010
29260.0,2010
29260.0,2010
33382.0,2010
32128.0,2010
2086.0,2010
2086.0,2010
17580.0,2010
23295.0,2010
14525.0,2010
